link,name,salary,city
https://hhcdn.ru/click?b=195886&place=35,Senior PHP Developer / PHP программист,150 000-299 000 руб.,"Москва, Аэропорт"
https://spb.hh.ru/vacancy/39986179?query=php,PHP-разработчик [удаленно],1 000-2 000 USD,Москва
https://spb.hh.ru/vacancy/39908555?query=php,"Senior PHP Developer (backend, remote)",от 4 000 USD,Киев
https://spb.hh.ru/vacancy/39370326?query=php,Программист PHP,от 60 000 руб.,Москва
https://spb.hh.ru/vacancy/39592535?query=php,Senior PHP Developer,1 500-3 500 EUR,"Москва, Аэропорт"
https://spb.hh.ru/vacancy/36884924?query=php,Ведущий PHP разработчик (Кипр),от 3 400 EUR,Кипр
https://spb.hh.ru/vacancy/39911553?query=php,PHP Yii2 программист Senior/Middle/Junior в компанию ZETSOFT,800-3 200 USD,Ташкент
https://spb.hh.ru/vacancy/39911776?query=php,Senior/Middle darajasidagi PHP Yii2 dasturchilarni,800-3 200 USD,Ташкент
https://spb.hh.ru/vacancy/39952045?query=php,PHP Developer,5 000 000-12 000 000 сум,Ташкент
https://spb.hh.ru/vacancy/39709659?query=php,Web-разработчик/Full Stack разработчик,100 000-150 000 руб.,Москва
https://spb.hh.ru/vacancy/39899791?query=php,Backend PHP-разработчик (удаленно),до 200 000 руб.,Москва
https://spb.hh.ru/vacancy/39799925?query=php,Backend разработчик (PHP),50 000-120 000 руб.,Москва
https://spb.hh.ru/vacancy/39576313?query=php,Senior PHP developer (Yii2),200 000-270 000 руб.,Москва
https://spb.hh.ru/vacancy/39962714?query=php,"Middle/Senior Back-end Developer (PHP, Symfony)",от 100 000 руб.,Москва
https://spb.hh.ru/vacancy/39980884?query=php,PHP-разработчик (Symfony),100 000-200 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39970431?query=php,PHP-разработчик,до 200 000 руб.,Екатеринбург
https://spb.hh.ru/vacancy/39798654?query=php,PHP developer,от 160 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39650368?query=php,Frontend-разработчик / HTML-верстальщик (офис),50 000-50 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39516653?query=php,Программист PHP,от 100 000 руб.,Москва
https://spb.hh.ru/vacancy/39749396?query=php,PHP Laravel Developer + JS,1 200-4 000 EUR,Нидерланды
https://spb.hh.ru/vacancy/37357450?query=php,PHP Developer,1 800-2 500 USD,Москва
https://spb.hh.ru/vacancy/39980539?query=php,Стажер/PHP-программист,до 25 000 руб.,"Москва, Раменки"
https://spb.hh.ru/vacancy/39913300?query=php,Разработчик PHP (junior),40 000-80 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39912635?query=php,PHP-разработчик удаленно,от 140 000 руб.,"Москва, Арбатская и еще 2 "
